name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL ,men,tshirts,4,"11,544",558,"₹1,999",₹299,85%
Men Solid Mandarin Collar Pure Cotton Dark Green T-Shirt,Urbano Plus ,men,tshirts,4.1,"5,131",418,"₹1,199",₹499,58%
"Pack of 2 TQH Men Sleeveless Men Solid Round Neck Polyester Black, Grey T-Shirt",TQH ,men,tshirts,4.2,"32,043","2,833","₹1,998",₹299,85%
Men Printed Round Neck Cotton Blend Red T-Shirt,ZALAF ,men,tshirts,Unknown,5,0,₹999,₹221,77%
Men Printed Round Neck Polyester Light Blue T-Shirt,VeBNoR ,men,tshirts,3.9,"28,072","1,686",₹999,₹259,74%
Pack of 5 Men Solid Round Neck Poly Cotton Multicolor T-Shirt,RENU FASHIONS ,men,tshirts,4,344,14,"₹1,500",₹499,66%
Men Printed Round Neck Pure Cotton Black T-Shirt,Magneto ,men,tshirts,4.2,30,0,"₹1,299",₹299,76%
Men Solid Round Neck Pure Cotton Black T-Shirt,UrGear ,men,tshirts,3.9,"17,223",945,"₹1,999",₹294,85%
Men Solid Round Neck Cotton Blend White T-Shirt,London Hills ,men,tshirts,3.9,"28,451","1,880","₹1,299",₹249,80%
Men Printed Round Neck Polyester Yellow T-Shirt,Kintu Parantu ,men,tshirts,3.2,19,0,₹999,₹189,81%
"Pack of 2 Men Printed Round Neck Polyester Blue, Dark Green T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
"Men Printed Round Neck Polyester Black, Red T-Shirt",KAJARU ,men,tshirts,3.9,"5,342",159,"₹1,399",₹189,86%
Men Printed Round Neck Cotton Blend Black T-Shirt,NB NICKY BOY ,men,tshirts,3.9,"2,894",106,₹666,₹249,62%
Men Colorblock Polo Neck Poly Cotton Maroon T-Shirt,DyrectDeals ,men,tshirts,3.9,"15,335",710,"₹1,299",₹299,76%
