name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Printed Round Neck Polyester Light Blue T-Shirt,VeBNoR,men,tshirts,3.9,28072.0,1686.0,999,259,74
Pack of 5 Men Solid Round Neck Poly Cotton Multicolor T-Shirt,RENU FASHIONS,men,tshirts,4.0,344.0,14.0,1500,499,66
Men Printed Round Neck Pure Cotton Black T-Shirt,Magneto,men,tshirts,4.2,30.0,0.0,1299,299,76
Men Solid Round Neck Pure Cotton Black T-Shirt,UrGear,men,tshirts,3.9,17223.0,945.0,1999,294,85
Men Solid Round Neck Cotton Blend White T-Shirt,London Hills,men,tshirts,3.9,28451.0,1880.0,1299,249,80
Men Printed Round Neck Polyester Yellow T-Shirt,Kintu Parantu,men,tshirts,3.2,19.0,0.0,999,189,81
"Pack of 2 Men Printed Round Neck Polyester Blue, Dark Green T-Shirt",KAJARU,men,tshirts,3.8,88910.0,4717.0,1899,359,81
"Men Printed Round Neck Polyester Black, Red T-Shirt",KAJARU,men,tshirts,3.9,5342.0,159.0,1399,189,86
Men Printed Round Neck Cotton Blend Black T-Shirt,NB NICKY BOY,men,tshirts,3.9,2894.0,106.0,666,249,62
Men Colorblock Polo Neck Poly Cotton Maroon T-Shirt,DyrectDeals,men,tshirts,3.9,15335.0,710.0,1299,299,76
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly,men,tshirts,4.3,21430.0,1144.0,1099,736,33
"Pack of 2 Men Printed Round Neck Polyester Light Green, Dark Green T-Shirt",KAJARU,men,tshirts,3.8,88910.0,4717.0,1899,359,81
Men Colorblock Round Neck Pure Cotton Pink T-Shirt,Kroptee,men,tshirts,3.8,19519.0,879.0,999,249,75
Men Graphic Print Round Neck Cotton Blend Black T-Shirt,Benny Brooks,men,tshirts,4.0,4.0,1.0,1099,299,72
Men Colorblock Polo Neck Poly Cotton Dark Green T-Shirt,DyrectDeals,men,tshirts,3.9,15335.0,710.0,1299,299,76
Men Solid Round Neck Polyester Beige T-Shirt,Madfrog,men,tshirts,3.9,3141.0,106.0,999,269,73
"Pack of 2 Men Printed Round Neck Polyester Pink, Blue T-Shirt",KAJARU,men,tshirts,3.8,88910.0,4717.0,1899,359,81
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt",FTX,men,tshirts,4.0,180832.0,11837.0,1499,459,69
"Pack of 2 Men Typography Round Neck Cotton Blend Pink, Grey T-Shirt",Try This,men,tshirts,3.8,8681.0,307.0,1999,349,82
Men Printed Round Neck Polyester White T-Shirt,geetaffashion,men,tshirts,,,,599,210,64
Men Printed Round Neck Polyester Grey T-Shirt,VeBNoR,men,tshirts,3.7,76913.0,4175.0,999,259,74
Men Printed Mandarin Collar Polyester Blue T-Shirt,dhaari by unique creation,men,tshirts,4.0,725.0,14.0,1199,289,75
Pack of 2 Men Graphic Print Round Neck Cotton Blend Multicolor T-Shirt,MONKEY BOYS,men,tshirts,3.8,1112.0,27.0,999,269,73
Men Printed Polo Neck Polyester Grey T-Shirt,VeBNoR,men,tshirts,3.8,1372.0,45.0,999,279,72
Men Solid Polo Neck Cotton Blend White T-Shirt,Allen Solly,men,tshirts,4.3,2176.0,90.0,1099,736,33
"Men Printed, Typography Round Neck Cotton Blend Yellow T-Shirt",LIULA CORPORATION,men,tshirts,3.7,3.0,0.0,999,296,70
Men Printed Round Neck Cotton Blend Black T-Shirt,AUSK,men,tshirts,4.0,4.0,0.0,1499,279,81
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL,men,tshirts,4.0,11544.0,558.0,1999,299,85
Men Printed Round Neck Polyester Multicolor T-Shirt,sti,men,tshirts,3.9,72975.0,5613.0,999,191,80
Men Checkered Hooded Neck Cotton Blend White T-Shirt,EyeBogler,men,tshirts,3.8,17077.0,712.0,2499,299,88
